INSERTION,DELETION,SUM,SUBTRACT,"INSERTION,DELETION,SUM,SUBTRACT",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
119,10,129,109,"119,10,129,109",,
52,3,55,49,"52,3,55,49",,
4,2,6,2,"4,2,6,2",,
5,3,8,2,"5,3,8,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
52,3,55,49,"52,3,55,49",,
12,106,118,-94,"12,106,118,-94",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
7,5,12,2,"7,5,12,2",,
7,5,12,2,"7,5,12,2",,
7,5,12,2,"7,5,12,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
538,22,560,516,"538,22,560,516",,
9,2,11,7,"9,2,11,7",,
75,5,80,70,"75,5,80,70",,
58,3,61,55,"58,3,61,55",,
57,3,60,54,"57,3,60,54",,
9,2,11,7,"9,2,11,7",,
1188,0,1188,1188,"1188,0,1188,1188",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
12,5,17,7,"12,5,17,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
58,3,61,55,"58,3,61,55",,
9,2,11,7,"9,2,11,7",,
1187,0,1187,1187,"1187,0,1187,1187",,
9,2,11,7,"9,2,11,7",,
15,2,17,13,"15,2,17,13",,
9,2,11,7,"9,2,11,7",,
103,2,105,101,"103,2,105,101",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
81,9,90,72,"81,9,90,72",,
59,5,64,54,"59,5,64,54",,
9,2,11,7,"9,2,11,7",,
15,2,17,13,"15,2,17,13",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
1157,0,1157,1157,"1157,0,1157,1157",,
1499,0,1499,1499,"1499,0,1499,1499",,
9,2,11,7,"9,2,11,7",,
31,16,47,15,"31,16,47,15",,
1181,0,1181,1181,"1181,0,1181,1181",,
375,11,386,364,"375,11,386,364",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
18,5,23,13,"18,5,23,13",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
313,22,335,291,"313,22,335,291",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
9,2,11,7,"9,2,11,7",,
32,9,41,23,"32,9,41,23",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
64,2,66,62,"64,2,66,62",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
7,5,12,2,"7,5,12,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
4,2,6,2,"4,2,6,2",,
3520,405,3925,3115,"3520,405,3925,3115",,
308,86,394,222,"308,86,394,222",,
591,567,1158,24,"591,567,1158,24",,
2,1,3,1,"2,1,3,1",,
49,40,89,9,"49,40,89,9",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
10,0,10,10,"10,0,10,10",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
1,0,1,1,"1,0,1,1",,
1,0,1,1,"1,0,1,1",,
1,0,1,1,"1,0,1,1",,
1,0,1,1,"1,0,1,1",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
2,1,3,1,"2,1,3,1",,
41,6,47,35,"41,6,47,35",,
1,3,4,-2,"1,3,4,-2",,
25,0,25,25,"25,0,25,25",,
81,4,85,77,"81,4,85,77",,
29,26,55,3,"29,26,55,3",,
30,2,32,28,"30,2,32,28",,
4,1,5,3,"4,1,5,3",,
0,1,1,-1,"0,1,1,-1",,
2,1,3,1,"2,1,3,1",,
20,4,24,16,"20,4,24,16",,
2,1,3,1,"2,1,3,1",,
24,13,37,11,"24,13,37,11",,
11,2,13,9,"11,2,13,9",,
0,1,1,-1,"0,1,1,-1",,
1,0,1,1,"1,0,1,1",,
1,0,1,1,"1,0,1,1",,
0,2,2,-2,"0,2,2,-2",,
0,1,1,-1,"0,1,1,-1",,
0,4,4,-4,"0,4,4,-4",,
0,2,2,-2,"0,2,2,-2",,
4,1,5,3,"4,1,5,3",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,2,3,-1,"1,2,3,-1",,
4,0,4,4,"4,0,4,4",,
47,14,61,33,"47,14,61,33",,
5,7,12,-2,"5,7,12,-2",,
3,13,16,-10,"3,13,16,-10",,
11,0,11,11,"11,0,11,11",,
7,0,7,7,"7,0,7,7",,
8,0,8,8,"8,0,8,8",,
17,0,17,17,"17,0,17,17",,
9,20,29,-11,"9,20,29,-11",,
2,0,2,2,"2,0,2,2",,
0,149,149,-149,"0,149,149,-149",,
6,1,7,5,"6,1,7,5",,
16,7,23,9,"16,7,23,9",,
3,4,7,-1,"3,4,7,-1",,
14,3,17,11,"14,3,17,11",,
4,0,4,4,"4,0,4,4",,
13,0,13,13,"13,0,13,13",,
4,0,4,4,"4,0,4,4",,
8,0,8,8,"8,0,8,8",,
11,2,13,9,"11,2,13,9",,
8,0,8,8,"8,0,8,8",,
9,0,9,9,"9,0,9,9",,
1,0,1,1,"1,0,1,1",,
36,0,36,36,"36,0,36,36",,
0,1,1,-1,"0,1,1,-1",,
13,6,19,7,"13,6,19,7",,
9,0,9,9,"9,0,9,9",,
30,16,46,14,"30,16,46,14",,
4,1,5,3,"4,1,5,3",,
8,2,10,6,"8,2,10,6",,
28,6,34,22,"28,6,34,22",,
6,0,6,6,"6,0,6,6",,
9,0,9,9,"9,0,9,9",,
6,0,6,6,"6,0,6,6",,
1,0,1,1,"1,0,1,1",,
21,0,21,21,"21,0,21,21",,
3,4,7,-1,"3,4,7,-1",,
42,0,42,42,"42,0,42,42",,
3,0,3,3,"3,0,3,3",,
2,0,2,2,"2,0,2,2",,
2,0,2,2,"2,0,2,2",,
2,0,2,2,"2,0,2,2",,
2,0,2,2,"2,0,2,2",,
2,0,2,2,"2,0,2,2",,
2,0,2,2,"2,0,2,2",,
2,0,2,2,"2,0,2,2",,
2,0,2,2,"2,0,2,2",,
2,0,2,2,"2,0,2,2",,
3,0,3,3,"3,0,3,3",,
1,0,1,1,"1,0,1,1",,
2,0,2,2,"2,0,2,2",,
3,1,4,2,"3,1,4,2",,
3,1,4,2,"3,1,4,2",,
3,1,4,2,"3,1,4,2",,
2,0,2,2,"2,0,2,2",,
2,0,2,2,"2,0,2,2",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
13,0,13,13,"13,0,13,13",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
0,1,1,-1,"0,1,1,-1",,
2,0,2,2,"2,0,2,2",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
4,2,6,2,"4,2,6,2",,
2,1,3,1,"2,1,3,1",,
3,2,5,1,"3,2,5,1",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
2,0,2,2,"2,0,2,2",,
1,2,3,-1,"1,2,3,-1",,
1,1,2,0,"1,1,2,0",,
2,0,2,2,"2,0,2,2",,
1,2,3,-1,"1,2,3,-1",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
4,0,4,4,"4,0,4,4",,
0,1,1,-1,"0,1,1,-1",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
0,47,47,-47,"0,47,47,-47",,
0,318,318,-318,"0,318,318,-318",,
0,20,20,-20,"0,20,20,-20",,
3,19,22,-16,"3,19,22,-16",,
2,2,4,0,"2,2,4,0",,
3,3,6,0,"3,3,6,0",,
1,2,3,-1,"1,2,3,-1",,
1,4,5,-3,"1,4,5,-3",,
1,1,2,0,"1,1,2,0",,
1,0,1,1,"1,0,1,1",,
1,1,2,0,"1,1,2,0",,
7,6,13,1,"7,6,13,1",,
17,19,36,-2,"17,19,36,-2",,
1,3,4,-2,"1,3,4,-2",,
1,1,2,0,"1,1,2,0",,
3,12,15,-9,"3,12,15,-9",,
1,9,10,-8,"1,9,10,-8",,
1,2,3,-1,"1,2,3,-1",,
7,28,35,-21,"7,28,35,-21",,
18,6,24,12,"18,6,24,12",,
17,13,30,4,"17,13,30,4",,
13,12,25,1,"13,12,25,1",,
72,0,72,72,"72,0,72,72",,
0,13,13,-13,"0,13,13,-13",,
30,18,48,12,"30,18,48,12",,
2,1,3,1,"2,1,3,1",,
1,0,1,1,"1,0,1,1",,
3,0,3,3,"3,0,3,3",,
1,0,1,1,"1,0,1,1",,
1,0,1,1,"1,0,1,1",,
18,1,19,17,"18,1,19,17",,
4,0,4,4,"4,0,4,4",,
3,7,10,-4,"3,7,10,-4",,
13,23,36,-10,"13,23,36,-10",,
0,2,2,-2,"0,2,2,-2",,
28,7,35,21,"28,7,35,21",,
33,44,77,-11,"33,44,77,-11",,
60,0,60,60,"60,0,60,60",,
86,0,86,86,"86,0,86,86",,
46,0,46,46,"46,0,46,46",,
90,0,90,90,"90,0,90,90",,
86,0,86,86,"86,0,86,86",,
45,0,45,45,"45,0,45,45",,
1,0,1,1,"1,0,1,1",,
12,5,17,7,"12,5,17,7",,
46,0,46,46,"46,0,46,46",,
5,0,5,5,"5,0,5,5",,
6,0,6,6,"6,0,6,6",,
14,0,14,14,"14,0,14,14",,
138,0,138,138,"138,0,138,138",,
1,0,1,1,"1,0,1,1",,
5,1,6,4,"5,1,6,4",,
1,0,1,1,"1,0,1,1",,
1,2,3,-1,"1,2,3,-1",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
1,10,11,-9,"1,10,11,-9",,
1,1,2,0,"1,1,2,0",,
1,3,4,-2,"1,3,4,-2",,
1,1,2,0,"1,1,2,0",,
1,2,3,-1,"1,2,3,-1",,
1,0,1,1,"1,0,1,1",,
12,5,17,7,"12,5,17,7",,
17,10,27,7,"17,10,27,7",,
13,3,16,10,"13,3,16,10",,
1,1,2,0,"1,1,2,0",,
4,1,5,3,"4,1,5,3",,
5,6,11,-1,"5,6,11,-1",,
23,0,23,23,"23,0,23,23",,
3,3,6,0,"3,3,6,0",,
19,3,22,16,"19,3,22,16",,
6,6,12,0,"6,6,12,0",,
8,3,11,5,"8,3,11,5",,
8,3,11,5,"8,3,11,5",,
14,9,23,5,"14,9,23,5",,
12,3,15,9,"12,3,15,9",,
25,10,35,15,"25,10,35,15",,
1,1,2,0,"1,1,2,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
0,4,4,-4,"0,4,4,-4",,
5,0,5,5,"5,0,5,5",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
1,8,9,-7,"1,8,9,-7",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
3,0,3,3,"3,0,3,3",,
6,0,6,6,"6,0,6,6",,
11,1,12,10,"11,1,12,10",,
5,0,5,5,"5,0,5,5",,
2,1,3,1,"2,1,3,1",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,0,1,1,"1,0,1,1",,
2,0,2,2,"2,0,2,2",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
0,1,1,-1,"0,1,1,-1",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
0,1,1,-1,"0,1,1,-1",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
2,2,4,0,"2,2,4,0",,
1,2,3,-1,"1,2,3,-1",,
2,3,5,-1,"2,3,5,-1",,
2,3,5,-1,"2,3,5,-1",,
1,2,3,-1,"1,2,3,-1",,
2,2,4,0,"2,2,4,0",,
3,2,5,1,"3,2,5,1",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
4,2,6,2,"4,2,6,2",,
10,2,12,8,"10,2,12,8",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
7,8,15,-1,"7,8,15,-1",,
11,1,12,10,"11,1,12,10",,
98,0,98,98,"98,0,98,98",,
1,0,1,1,"1,0,1,1",,
10,0,10,10,"10,0,10,10",,
4,0,4,4,"4,0,4,4",,
1,1,2,0,"1,1,2,0",,
27,15,42,12,"27,15,42,12",,
7,0,7,7,"7,0,7,7",,
2,2,4,0,"2,2,4,0",,
3,12,15,-9,"3,12,15,-9",,
32,8,40,24,"32,8,40,24",,
0,137,137,-137,"0,137,137,-137",,
4,4,8,0,"4,4,8,0",,
2,2,4,0,"2,2,4,0",,
152,0,152,152,"152,0,152,152",,
15,17,32,-2,"15,17,32,-2",,
1,1,2,0,"1,1,2,0",,
0,1,1,-1,"0,1,1,-1",,
0,2,2,-2,"0,2,2,-2",,
5,0,5,5,"5,0,5,5",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
27,28,55,-1,"27,28,55,-1",,
2,0,2,2,"2,0,2,2",,
0,1,1,-1,"0,1,1,-1",,
1,1,2,0,"1,1,2,0",,
5,20,25,-15,"5,20,25,-15",,
18,3,21,15,"18,3,21,15",,
2,1,3,1,"2,1,3,1",,
4,3,7,1,"4,3,7,1",,
21,7,28,14,"21,7,28,14",,
2,1,3,1,"2,1,3,1",,
8,5,13,3,"8,5,13,3",,
7,2,9,5,"7,2,9,5",,
2,0,2,2,"2,0,2,2",,
4,0,4,4,"4,0,4,4",,
1,1,2,0,"1,1,2,0",,
13,1,14,12,"13,1,14,12",,
1,2,3,-1,"1,2,3,-1",,
57,0,57,57,"57,0,57,57",,
4,0,4,4,"4,0,4,4",,
21,0,21,21,"21,0,21,21",,
58,0,58,58,"58,0,58,58",,
16,0,16,16,"16,0,16,16",,
5,0,5,5,"5,0,5,5",,
16,7,23,9,"16,7,23,9",,
2,10,12,-8,"2,10,12,-8",,
1,1,2,0,"1,1,2,0",,
1,5,6,-4,"1,5,6,-4",,
0,8,8,-8,"0,8,8,-8",,
0,4,4,-4,"0,4,4,-4",,
0,4,4,-4,"0,4,4,-4",,
0,4,4,-4,"0,4,4,-4",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
2,2,4,0,"2,2,4,0",,
1,1,2,0,"1,1,2,0",,
1,0,1,1,"1,0,1,1",,
1,1,2,0,"1,1,2,0",,
12,0,12,12,"12,0,12,12",,
3,1,4,2,"3,1,4,2",,
10,4,14,6,"10,4,14,6",,
12,3,15,9,"12,3,15,9",,
23,4,27,19,"23,4,27,19",,
28,9,37,19,"28,9,37,19",,
1,1,2,0,"1,1,2,0",,
3,2,5,1,"3,2,5,1",,
6,0,6,6,"6,0,6,6",,
11,4,15,7,"11,4,15,7",,
8,0,8,8,"8,0,8,8",,
17,0,17,17,"17,0,17,17",,
6,0,6,6,"6,0,6,6",,
1,1,2,0,"1,1,2,0",,
14,2,16,12,"14,2,16,12",,
4,3,7,1,"4,3,7,1",,
1,10,11,-9,"1,10,11,-9",,
1,2,3,-1,"1,2,3,-1",,
3,1,4,2,"3,1,4,2",,
9,3,12,6,"9,3,12,6",,
7,3,10,4,"7,3,10,4",,
2,2,4,0,"2,2,4,0",,
0,1,1,-1,"0,1,1,-1",,
14,14,28,0,"14,14,28,0",,
3,1,4,2,"3,1,4,2",,
1,0,1,1,"1,0,1,1",,
10,26,36,-16,"10,26,36,-16",,
36,0,36,36,"36,0,36,36",,
4,0,4,4,"4,0,4,4",,
6,0,6,6,"6,0,6,6",,
38,0,38,38,"38,0,38,38",,
1,0,1,1,"1,0,1,1",,
3,2,5,1,"3,2,5,1",,
1,0,1,1,"1,0,1,1",,
4,0,4,4,"4,0,4,4",,
2,0,2,2,"2,0,2,2",,
19,1,20,18,"19,1,20,18",,
4,1,5,3,"4,1,5,3",,
18,3,21,15,"18,3,21,15",,
34,6,40,28,"34,6,40,28",,
1,1,2,0,"1,1,2,0",,
1,0,1,1,"1,0,1,1",,
3,1,4,2,"3,1,4,2",,
11,0,11,11,"11,0,11,11",,
12,12,24,0,"12,12,24,0",,
1,1,2,0,"1,1,2,0",,
1,13,14,-12,"1,13,14,-12",,
1,1,2,0,"1,1,2,0",,
0,57,57,-57,"0,57,57,-57",,
0,4,4,-4,"0,4,4,-4",,
0,21,21,-21,"0,21,21,-21",,
0,58,58,-58,"0,58,58,-58",,
0,16,16,-16,"0,16,16,-16",,
0,5,5,-5,"0,5,5,-5",,
7,16,23,-9,"7,16,23,-9",,
1,1,2,0,"1,1,2,0",,
13,1,14,12,"13,1,14,12",,
1,1,2,0,"1,1,2,0",,
57,0,57,57,"57,0,57,57",,
4,0,4,4,"4,0,4,4",,
21,0,21,21,"21,0,21,21",,
58,0,58,58,"58,0,58,58",,
16,0,16,16,"16,0,16,16",,
5,0,5,5,"5,0,5,5",,
16,7,23,9,"16,7,23,9",,
0,9,9,-9,"0,9,9,-9",,
3,5,8,-2,"3,5,8,-2",,
2,2,4,0,"2,2,4,0",,
0,1,1,-1,"0,1,1,-1",,
5,7,12,-2,"5,7,12,-2",,
2,10,12,-8,"2,10,12,-8",,
1,1,2,0,"1,1,2,0",,
3,0,3,3,"3,0,3,3",,
7,0,7,7,"7,0,7,7",,
6,0,6,6,"6,0,6,6",,
1,0,1,1,"1,0,1,1",,
4,2,6,2,"4,2,6,2",,
41,16,57,25,"41,16,57,25",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
0,1,1,-1,"0,1,1,-1",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
10,3,13,7,"10,3,13,7",,
0,1,1,-1,"0,1,1,-1",,
3,1,4,2,"3,1,4,2",,
4,1,5,3,"4,1,5,3",,
5,1,6,4,"5,1,6,4",,
14,3,17,11,"14,3,17,11",,
7,1,8,6,"7,1,8,6",,
0,53,53,-53,"0,53,53,-53",,
0,5,5,-5,"0,5,5,-5",,
0,6,6,-6,"0,6,6,-6",,
0,27,27,-27,"0,27,27,-27",,
0,195,195,-195,"0,195,195,-195",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
0,1,1,-1,"0,1,1,-1",,
1,3,4,-2,"1,3,4,-2",,
2,1,3,1,"2,1,3,1",,
15,0,15,15,"15,0,15,15",,
7,0,7,7,"7,0,7,7",,
8,2,10,6,"8,2,10,6",,
2,3,5,-1,"2,3,5,-1",,
2,2,4,0,"2,2,4,0",,
1,1,2,0,"1,1,2,0",,
3,3,6,0,"3,3,6,0",,
3,3,6,0,"3,3,6,0",,
2,2,4,0,"2,2,4,0",,
1,1,2,0,"1,1,2,0",,
1,1,2,0,"1,1,2,0",,
8,0,8,8,"8,0,8,8",,
8,5,13,3,"8,5,13,3",,
2,1,3,1,"2,1,3,1",,
6,1,7,5,"6,1,7,5",,
1,1,2,0,"1,1,2,0",,
3,0,3,3,"3,0,3,3",,
34,4,38,30,"34,4,38,30",,
5,3,8,2,"5,3,8,2",,
4,2,6,2,"4,2,6,2",,
1,1,2,0,"1,1,2,0",,
3,2,5,1,"3,2,5,1",,
4,3,7,1,"4,3,7,1",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
2,1,3,1,"2,1,3,1",,
2,2,4,0,"2,2,4,0",,
1,1,2,0,"1,1,2,0",,
7,1,8,6,"7,1,8,6",,
6,0,6,6,"6,0,6,6",,
6,0,6,6,"6,0,6,6",,
47,62,109,-15,"47,62,109,-15",,
2,1,3,1,"2,1,3,1",,
2,0,2,2,"2,0,2,2",,
