NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK
1,19/12/2020-01/02/2021,Jan 30 2021,2ccdac06f95f68752abdede79770f5a8904e7e12,    [Compose] Upgrade to Alpha 11 (#1732),completed: 266 skipped: 4 failures: 0 errors: 0,https://github.com/airbnb/lottie-android/commit/2ccdac06f95f68752abdede79770f5a8904e7e12
1,19/12/2020-01/02/2021,Jan 16 2021,03760ad2004b8c22cd1b4892f40c3e40bc296aa7,    [Compose] Upgrade to Alpha 10 (#1728),completed: 266 skipped: 4 failures: 0 errors: 0,https://github.com/airbnb/lottie-android/commit/03760ad2004b8c22cd1b4892f40c3e40bc296aa7
2,15/02/2020-19/12/2020,Oct 24 2020,8a10f96181f892a19c4e56867124741e561b0536,    Docs and LottieConfig cleanup (#1656),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/8a10f96181f892a19c4e56867124741e561b0536
2,15/02/2020-19/12/2020,Oct 24 2020,b27f6d32cc10580c95019df82a9b606b1c5e49f0,    Initial implementation of Lottie Compose (#1652),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/b27f6d32cc10580c95019df82a9b606b1c5e49f0
2,15/02/2020-19/12/2020,Oct 3 2020,ae030bb5aa76b35901411c00ac384081e1d88510,    v3.4.5-SNAPSHOT,completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/ae030bb5aa76b35901411c00ac384081e1d88510
2,15/02/2020-19/12/2020,Oct 2 2020,6e189af80d3034d48bd5a1cf32ab52de0117da17,    Clear hashed gradient objects when a new value callback is set. (#1639),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/6e189af80d3034d48bd5a1cf32ab52de0117da17
2,15/02/2020-19/12/2020,Oct 1 2020,edb4c2297ed4b1e2b22f4a3269617d2b7a0ff363,    v3.4.3,completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/edb4c2297ed4b1e2b22f4a3269617d2b7a0ff363
2,15/02/2020-19/12/2020,Oct 1 2020,f5517cd29b8ee5b3c60a7e27d97f4e8ee5088027,    Fix scaling and tracking for dynamic text (#1635),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/f5517cd29b8ee5b3c60a7e27d97f4e8ee5088027
2,15/02/2020-19/12/2020,Sep 12 2020,1e40a1ffb5f744cf7ee92f8c06192de27218c937,    [Sample App] Modernized sample app (#1622),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/1e40a1ffb5f744cf7ee92f8c06192de27218c937
2,15/02/2020-19/12/2020,Aug 28 2020,2b9ef30372321022bf6ffa328b34c609a0efa027,    [CI] Add env inputs to deploy step (#1621),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/2b9ef30372321022bf6ffa328b34c609a0efa027
2,15/02/2020-19/12/2020,Aug 28 2020,3462d78dbddadb6a8d44c45a0d2eb7e93e72b049,    Update deploy_snapshot script for GitHub Actions (#1619),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/3462d78dbddadb6a8d44c45a0d2eb7e93e72b049
2,15/02/2020-19/12/2020,Aug 28 2020,6ebd653e7d16896df1964f7861de75b48e82dcf7,    v3.4.3-SNAPSHOT,completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/6ebd653e7d16896df1964f7861de75b48e82dcf7
2,15/02/2020-19/12/2020,Aug 28 2020,ae9317b3f6e7fc2818ea1d50cc798cafd3188461,    Add cacheKey to LottieCompositionFactory call (#1617),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/ae9317b3f6e7fc2818ea1d50cc798cafd3188461
2,15/02/2020-19/12/2020,Aug 27 2020,8e6b39a7a18af9adff97eb7b8a782ec5a9cf147d,    More leniently parse colors (#1612),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/8e6b39a7a18af9adff97eb7b8a782ec5a9cf147d
2,15/02/2020-19/12/2020,Aug 27 2020,7297d96c97566dedaf556407be732cfa41887218,    Enable xml preview in Android Studio. (#1572),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/7297d96c97566dedaf556407be732cfa41887218
2,15/02/2020-19/12/2020,Aug 20 2020,937f5352229db1034c46e7be4e48fdc90ef0b65e,    Fix crash of sample (#1589),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/937f5352229db1034c46e7be4e48fdc90ef0b65e
2,15/02/2020-19/12/2020,Jul 29 2020,65ec4f568182e240457e8191a8c617f887d1c009,    Disable hardware rendering for Android 7 to avoid native crashes in libhwui.so and libc.so (#1586),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/65ec4f568182e240457e8191a8c617f887d1c009
2,15/02/2020-19/12/2020,Jun 5 2020,6e3928471e829b47c21d4678aa3ab9047fdcf2df,    v3.4.2-SNAPSHOT,completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/6e3928471e829b47c21d4678aa3ab9047fdcf2df
2,15/02/2020-19/12/2020,May 29 2020,b7bd15c7a7bbd9f0f576170937b11a69be485527,    Add COMPOSITION in KeyPath to target root composition layer. (#1559),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/b7bd15c7a7bbd9f0f576170937b11a69be485527
2,15/02/2020-19/12/2020,Mar 2 2020,708b54b2e3c605cc429906e47015f5a075f54b72,    Add lottieAnimationViewStyle attribute to set a default style in themes (#1524),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/708b54b2e3c605cc429906e47015f5a075f54b72
2,15/02/2020-19/12/2020,Feb 22 2020,afaedba3f5d45bfe810c60bd83f85390e76c4f5a,    v3.4.1-SNAPSHOT,completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/afaedba3f5d45bfe810c60bd83f85390e76c4f5a
2,15/02/2020-19/12/2020,Feb 22 2020,28f4e5a5087196e2ebb0923bba35c84175b3b39a,    Play, not resume, animation when playAnimation() is called when isShown() is false (#1521),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/28f4e5a5087196e2ebb0923bba35c84175b3b39a
2,15/02/2020-19/12/2020,Feb 15 2020,e82e63c79fbdeda06b7a9caeb870872583e0801b,    Ensure ImageView updates Drawable bounds when not using LottieAnimationView (#1504),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/e82e63c79fbdeda06b7a9caeb870872583e0801b
6,30/05/2019-14/10/2019,Aug 10 2019,ea3a2dcb08533671334cb4fe4b72185dae288611,    Prevent removeAllUdpateListeners from breaking the world (#1354),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/ea3a2dcb08533671334cb4fe4b72185dae288611
6,30/05/2019-14/10/2019,Aug 10 2019,d052572d53e4f4bd8f104036c5cdf51badb4d519,    Fixed endless recycler view animation. #1340,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/d052572d53e4f4bd8f104036c5cdf51badb4d519
